0,1,2
2022-01-18,Haidar_Bagir,"Tulisan saya: ""Jangan Overrate! Sekolah Hanyalah Ban Serep"" (Melanjutkan tulisan di media yg dsama: ""Merdeka Belajar, Sebuah Deja Vu"") https://t.co/sLBuchcIWU"
2022-01-18,fe_ubb,"Selamat kepada Jurusan Manajemen Universitas Bangka Belitung, Atas pencapaian Program Kompertisi Kampus Merdeka (PKKM), Merdeka Belajar Kampus Merdeka (MBKM) tahun 2021
.
.
.
.
.
Together to be Excellent and Integrity https://t.co/DRp4dezCME"
2022-01-18,KemahasiswaanUI,"Teman – teman mahasiswa, yuk ikutan dan cari tahu apa itu Program Merdeka Belajar Kampus Merdeka (MBKM) yang diadakan Center for Independent Learning (CIL) UI.

Cari tahu info detilnya pada website : https://t.co/DxiE6Siv5Q https://t.co/7Sb4QoqJv8"
2022-01-18,Kemdikbud_RI,"Yuk, cari tahu istilah lainnya dalam bahasa Indonesia dengan mengunjungi https://t.co/UJVPMYjB98! 

#MerdekaBelajar #SelasaBahasa"
2022-01-18,Kemdikbud_RI,"#SahabatDikbud, dalam satu hari terkadang kita bisa mengunjungi beberapa tempat sekaligus. Nah, seringkali kita menemukan atau menyebutkan istilah asing di tempat tersebut, padahal ada, loh, padanan istilahnya dalam bahasa Indonesia.

#MerdekaBelajar #SelasaBahasa https://t.co/nMI9VVwCLK"
2022-01-18,kompascom,"Dan pada tahun 2022 ini, kuota program Merdeka Belajar Kampus Merdeka (MBKM) akan naik sebanyak tiga kali lipat hingga mencapai 150.000 mahasiswa. https://t.co/0XK6Tx3uby"
2022-01-18,mimicutiiee,Jokowi minta agar perguruan tinggi dapat berikan mahasiswa untuk merdeka belajar https://t.co/xLkTLmuxDh
2022-01-18,arpeeen,Gue menduga kalau mbkm (merdeka belajar kampus merdeka) terinspirasi dari belanda - a thread
2022-01-18,unpad,"#AgendaUnpad

Pendaftaran Magang dan Studi Independen Bersertifikat diperpanjang hingga 21 Januari 2022

Magang Bersertifikat:
https://t.co/QZBFjvcrrU

Studi Independen Bersertifikat
https://t.co/Jl0LGMdNXz

#MerdekaBelajar
#KampusMerdeka
#Unpad
#UniversitasPadjadjaran https://t.co/Zhjazq519o"
2022-01-18,agungdwihan,"@ramayanti81 Loh loh kok kayak gini @Kemdikbud_RI ?
Ga jadi merdeka belajar?"
2022-01-18,Kjunchicken__,"Kacau, gue pengen ambil matkul dari prodi kimia sama HI, tapi gak tersedia buat yang merdeka belajar 👎gue isi apa lagi ya? Apa ke mikro? Hh https://t.co/mIdLkb5hxV"
2022-01-18,TerpaduUPI,"Perpanjangan waktu pembayaran UKT Semester Genap 2021/2022. 
   
#info #terpaduupi #upi   
#UKT 
#MerdekaBelajar https://t.co/f4NBaR6Mwl"
2022-01-18,liputan6dotcom,Program Merdeka Belajar Jokowi Dinilai Jadi Bekal Tingkatkan Kualitas Pembangunan SDM https://t.co/vg1uFCugW6
2022-01-18,itbofficial,"Kerja Sama dengan @BPDPkelapasawit, ITB Kembangkan Bensin Sawit (Bensa)

Baca berita selengkapnya di laman  https://t.co/0LfpRzel1H

#ITBnews #institutteknologibandung #worldclassuniversity #innovation #research #kampusmerdeka #merdekabelajar"
2022-01-18,MasMenteri,"PERMINTAAN KHUSUS PRESIDEN NIH ❗

Perguruan Tinggi HARUS BISA memfasilitasi Mahasiswa untuk mengembangkan talenta. Berikan Mahasiswa kesempatan yang luas untuk belajar di mana saja &amp; dengan siapa saja!

Hal ini selaras dengan cita2 Mas Nadiem dalam Merdeka Belajar Kampus Merdeka https://t.co/RIsM5KmWQq"
2022-01-18,kb_ntb,"#SahabatBahasa dan #SahabatDikBud, konten #SelasaSastra hari ini menampilkan peribahasa 
""Bilen api bao puntuk"" dalam bahasa Samawa.

Yuk, kita simak bersama!
🙏🏻 

#PeribahasaSamawa
#AmaSamawa
#PeribahasaDaerah
#MerdekaBelajar https://t.co/AK2WiHmdbu"
2022-01-18,itbofficial,"Transisi Menuju Kuliah Luring, Asrama ITB Kembali Terima Penghuni Baru

Baca berita selengkapnya di laman  https://t.co/iGoutxLboy

#ITBnews #institutteknologibandung #worldclassuniversity #innovation #research #kampusmerdeka #merdekabelajar"
2022-01-18,PAUDDikdasmen,"Kurikulum prototipe akan menjadi kurikulum nasional pada tahun 2024. Dengan kata lain, pergantian berikutnya baru akan terjadi setelah kurikulum yang sebelumnya (K-13) diterapkan 11 tahun dan melewati setidaknya empat menteri pendidikan. 

#kurikulumprototipe
#merdekabelajar https://t.co/bvBn4SyCCL"
2022-01-18,PAUDDikdasmen,"#SobatBelajar, apa pendapat kalian tentang anggapan “Ganti Menteri, Ganti Kurikulum”. Apakah sudah sesuai dengan fakta? Yuk kita lihat penjelasan berikut.
#kurikulumprototipe
#beranibelajarberubah
#merdekabelajar
Sumber: BSKAP Kemendikbudristek https://t.co/15ymOfouvM"
2022-01-18,ajenar,"saya salfok... buat saya yang menarik baju pak menteri. kalau Merdeka Belajar, boleh dong ""merdeka"" juga baju sekolah nya? contoh nya pak menteri sendiri. gimana bapak bapak @kemenpendidikan ? https://t.co/DD7yJfAAe6"
2022-01-18,kursuskita,"Main game lagi, yuk, #SobatKursus!

Temukan 5 kata tersembunyi yang berhubungan dengan Ditsuslat. 

Hayo, pada bisa liat ngga 5 kata itu? Tulis jawaban kamu di kolom komentar ya, jawaban yang benar akan KuKi kasih like ❤️! 

Yuk, ke Instagram KuKi!

#AyoKursus
#MerdekaBelajar https://t.co/sJqbXz1xlu"
2022-01-18,tempodotco,"Di kampus Unpad, Nadiem berdialog dengan mahasiswa peserta program Merdeka Belajar Kampus Merdeka yang berjumlah 60 orang. #TempoTekno https://t.co/kUYGpJKOcp"
2022-01-18,RtnSumenep355,"""Pada tahun ajaran baru 2022 ini, saya harap WBP bisa lebih bersemangat lagi dalam menimba ilmu pada program kejar paket merdeka belajar yang diadakan oleh Rutan Sumenep"" begitu ujarnya.

Mator Sakalangkong 
-( Humas Rutan Sumenep)-"
2022-01-18,RtnSumenep355,"SUMENEP - Memasuki tahun ajaran baru 2022, hari ini (18/1) Warga Binaan Pemasyarakatan (WBP) Rutan Sumenep Kanwil Kemenkumham Jatim kembali ikuti kegiatan program kejar paket merdeka belajar."
2022-01-18,RtnSumenep355,"MASUKI TAHUN 2022, WBP RUTAN SUMENEP KEMBALI IKUTI PROGRAM KEJAR PAKET MERDEKA BELAJAR https://t.co/PLbkVyxzh0"
2022-01-18,shiddiquester,"Sebagai civitas academica yang turut merasakan dampak positif pelaksanaan program #MerdekaBelajar, bangga rasanya bisa duduk dekat dengan Mas Menteri @nadiemmakarim (masker putih nyempil di belakang ehe)

Gaskeun Terus Program MBKM 💪💪💪!! https://t.co/lYehdKTy85"
2022-01-18,kompascom,Panitia Kerja (Panja) Merdeka Belajar Kampus Merdeka (MBKM) Komisi X DPR RI mengapresiasi masukan dan kritikan terkait program MBKM. https://t.co/NxxWMqY4ji
2022-01-18,Kemdikbud_RI,"Ya, benar! Jawaban #SeninMain kemarin adalah Indonesia, Australia, Cina, Italia, dan Jepang. 

Siapa yang tahu anggota negara lainnya?

#MerdekaBelajar #SeninMain
#G20 #G20Indonesia https://t.co/eUNFQla9jV"
2022-01-18,kb_ntb,"#SasamboHariIni untuk #SahabatBahasa dan #SahabatDikbud, yaitu pasangan minimal pembeda makna dalam bahasa Samawa (Sumbawa).

#BahasaSamawa
#BahasaDaerah
#MerdekaBelajar https://t.co/xAXlHcCvst"
2022-01-18,ninoaditomo,"Karena itu saya sebisa mungkin meluangkan waktu untuk membaca bersama anak. Sebuah ikhtiar kecil yang, semoga, membekalinya dengan sebuah kecakapan yang akan bermanfaat sepanjang hidup.***

#parenting #literasi #membaca #merdekabelajar"
2022-01-18,mulanbilqis,"MERDEKA BERDAULAT 2034
-
-
Erick Thohir:
Kompetensi inti yg mesti jadi bekal generasi kita untuk CAKAP HIDUP di era itu adalah:
1. Adaptable
2. Penguasaan teknologi
3. Analytical/kritis
-
-
Ini sejalan dg MERDEKA BELAJAR yg digencarkan Nadiem Makarim.
-
-
Visi pak Jokowi MANTAP! https://t.co/iv1g0v2btk"
2022-01-18,kompascom,"Mendikbud Ristek menekankan, program Merdeka Belajar-Kampus Merdeka (MBKM) diharapkan menjadi transformasi baik bagi perguruan tinggi. https://t.co/J49MrbFAu9"
2022-01-18,sdmuh1solo,Sekolah Penggerak Praktikkan Merdeka Belajar https://t.co/lJUSEk8E8J @ditpsd_dikbud
2022-01-18,kpukabmaros,"#TemanPemilih, KPU RI menjalin kerja sama dengan Universitas Teuku Umar (UTU) dalam hal pengembangan pendidikan, penelitian, pengabdian masyarakat dan peningkatan kualitas SDM dalam melaksanakan Merdeka Belajar Kampus Merdeka.Senin (17/1).

#KPUMelayani https://t.co/4kFnLu7IOr"
2022-01-17,KPU_KonaweUtara,"#TemanPemilih, simak kegiatan @KPU_ID  berikut ini...

KPU RI menjalin kerja sama dengan Universitas Teuku Umar (UTU) dalam hal pengembangan pendidikan, penelitian, pengabdian masyarakat dan peningkatan kualitas SDM dalam melaksanakan Merdeka Belajar Kampus Merdeka. https://t.co/zRF0iKWL7b"
2022-01-17,kairnalr,"Pantes buka email kampus tidak bisa pada eror ternyata dari beberapa hari lalu, aku daftar beasiswa merdeka belajar ngisi emailnya pake yg pribadi ya karena ga bisa itu;("
2022-01-17,unpad,"#BeritaUnpad

Mendikbudristek: MBKM Jadi Contoh Panutan Transformasi Pendidikan Tinggi
@Kemdikbud_RI
@ditjendikti

#MerdekaBelajar
#KampusMerdeka
#Unpad
#UniversitasPadjadjaran

https://t.co/rOgnahn3Uo"
2022-01-17,baliportalnews,"UGM Siap Lakukan KBM Bauran Bagi Seluruh Mahasiswa
 #KBMBauran #KegiatanBelajarMengajar #Mahasiswa #MerdekaBelajar #UGM

https://t.co/bS4h3d1ZyW https://t.co/6x8dhRSiPk"
2022-01-17,Kemdikbud_RI,"#SahabatDikbud dapat menyimak berita selengkapnya dengan mengunjungi https://t.co/4KFlC7XGAn.

#MerdekaBelajar https://t.co/POj4kJhKGq"
2022-01-17,Kemdikbud_RI,"Selanjutnya Mendikbudristek menuju @unpad untuk berdialog dengan para civitas academica. Dalam kesempatan tersebut, Menteri Nadiem menerima berbagai masukan tentang pelaksanaan program #MerdekaBelajar #KampusMerdeka. https://t.co/HtADrosrvN"
2022-01-17,Kemdikbud_RI,"Mendikbudristek kemudian mengunjungi SMP Negeri 2 Bandung untuk memantau jalannya Pembelajaran Tatap Muka Terbatas di Sekolah Penggerak tersebut. Ia mengapresiasi semangat para siswa yang dapat kembali belajar di sekolah.

#MerdekaBelajar https://t.co/TVhrCb9cVg"
2022-01-17,Kemdikbud_RI,"Dalam kesempatan tersebut, Menteri @nadiemmakarim menyampaikan bahwa presiden mendukung program #KampusMerdeka dan perubahan-perubahan yang dilakukan Kemendikbudristek.

#MerdekaBelajar https://t.co/rc3RCjYEBF"
2022-01-17,Kemdikbud_RI,"#SahabatDikbud, Mendikbudristek @nadiemmakarim hari ini (17/1) melakukan kunjungan kerja ke Bandung, Jawa Barat. Pada kunjungan pertama, Menteri Nadiem mendampingi Presiden RI @jokowi dalam peringatan Dies Natalis Universitas Katolik Parahyangan. 

#MerdekaBelajar #KampusMerdeka https://t.co/prsnpnP5PJ"
2022-01-17,kangDed18255164,Presiden Dukung Merdeka Belajar Kampus Merdeka https://t.co/OJZssZeJDJ
2022-01-17,KPU_ID,"#TemanPemilih, KPU RI menjalin kerja sama dengan Universitas Teuku Umar (UTU) dalam hal pengembangan pendidikan, penelitian, pengabdian masyarakat dan peningkatan kualitas SDM dalam melaksanakan Merdeka Belajar Kampus Merdeka. https://t.co/9PAXwke3ta"
2022-01-17,suaraislamco,"Di Unpar, Presiden Dukung Merdeka Belajar Kampus Merdeka dari Mendikbudristek Nadiem https://t.co/3bCOIc9nVv https://t.co/Ffw2cLVHiG"
2022-01-17,officialusu_,"Halo #SobatUSU
Ada informasi nih bagi kamu yang sedang mencari informasi seputar Merdeka Belajar Kampus Merdeka, terutama kamu yang berfokus pada Sosialisasi Program Studi Independen bahwa Binar Academy akan mengadakan Sosialisasi nih seputar Program Studi Independen. https://t.co/J7OQJ9WwgZ"
2022-01-17,cimothy_sky,apa itu merdeka belajar untuk angkatan 19
